GeneralParams(name='runs/CIFAR10/20230907_1333_746630',
              console=True,
              tensorboard=True,
              load=False,
              test=False,
              cuda=True,
              num_workers=4,
              gpu='1',
              visualize=False)
DatasetParams(dataset='CIFAR10', image_size=32)
TrainerParams(batch_size=128,
              optimizer='SGD',
              lr=0.001,
              lr_morpho=1,
              weight_decay=0,
              max_epochs=400,
              scheduler='CosineAnnealingLR',
              amp=True)
ModelParams(model='MobileNetV2-31',
            morpho_type='infinity',
            expansion=8,
            morpho_init='normal',
            relu=False,
            conv_type='norm1')
Using cuda backend
| epoch  78 | time 18.23s | loss 0.5112 | train_acc 82.56 | val_acc 82.90 | lr 9.11e-04| best
| epoch  79 | time 18.21s | loss 0.4964 | train_acc 83.11 | val_acc 81.10 | lr 9.09e-04|
| epoch  80 | time 18.26s | loss 0.5030 | train_acc 82.68 | val_acc 80.79 | lr 9.07e-04|
| epoch  81 | time 18.23s | loss 0.5007 | train_acc 82.74 | val_acc 80.12 | lr 9.05e-04|
| epoch  82 | time 18.26s | loss 0.5005 | train_acc 82.76 | val_acc 81.30 | lr 9.02e-04|
| epoch  83 | time 18.25s | loss 0.5025 | train_acc 82.72 | val_acc 81.65 | lr 9.00e-04|
| epoch  84 | time 18.32s | loss 0.4975 | train_acc 82.96 | val_acc 81.35 | lr 8.97e-04|
| epoch  85 | time 18.23s | loss 0.4923 | train_acc 82.95 | val_acc 80.56 | lr 8.95e-04|
| epoch  86 | time 18.32s | loss 0.4867 | train_acc 83.14 | val_acc 82.35 | lr 8.93e-04|
| epoch  87 | time 18.24s | loss 0.4932 | train_acc 83.20 | val_acc 82.48 | lr 8.90e-04|
| epoch  88 | time 18.27s | loss 0.4887 | train_acc 83.02 | val_acc 82.34 | lr 8.88e-04|
| epoch  89 | time 18.25s | loss 0.4866 | train_acc 83.23 | val_acc 81.83 | lr 8.85e-04|
| epoch  90 | time 18.21s | loss 0.4887 | train_acc 83.21 | val_acc 81.47 | lr 8.83e-04|
| epoch  91 | time 18.17s | loss 0.4829 | train_acc 83.32 | val_acc 82.08 | lr 8.80e-04|
| epoch  92 | time 18.27s | loss 0.4877 | train_acc 83.21 | val_acc 82.46 | lr 8.78e-04|
| epoch  93 | time 18.23s | loss 0.4832 | train_acc 83.29 | val_acc 81.75 | lr 8.75e-04|
| epoch  94 | time 18.22s | loss 0.4813 | train_acc 83.47 | val_acc 81.87 | lr 8.72e-04|
| epoch  95 | time 18.19s | loss 0.4810 | train_acc 83.50 | val_acc 83.01 | lr 8.70e-04| best
| epoch  96 | time 18.23s | loss 0.4768 | train_acc 83.56 | val_acc 80.62 | lr 8.67e-04|
| epoch  97 | time 18.26s | loss 0.4782 | train_acc 83.71 | val_acc 83.36 | lr 8.64e-04| best
| epoch  98 | time 18.21s | loss 0.4734 | train_acc 83.66 | val_acc 83.60 | lr 8.62e-04| best
| epoch  99 | time 18.20s | loss 0.4744 | train_acc 83.59 | val_acc 82.09 | lr 8.59e-04|
| epoch 100 | time 18.23s | loss 0.4689 | train_acc 83.93 | val_acc 83.01 | lr 8.56e-04|
| epoch 101 | time 18.24s | loss 0.4681 | train_acc 83.96 | val_acc 82.34 | lr 8.54e-04|
| epoch 102 | time 18.23s | loss 0.4712 | train_acc 83.95 | val_acc 82.48 | lr 8.51e-04|
| epoch 103 | time 18.24s | loss 0.4652 | train_acc 83.99 | val_acc 79.50 | lr 8.48e-04|
| epoch 104 | time 18.20s | loss 0.4666 | train_acc 83.98 | val_acc 81.85 | lr 8.45e-04|
| epoch 105 | time 18.23s | loss 0.4672 | train_acc 83.80 | val_acc 82.36 | lr 8.42e-04|
| epoch 106 | time 18.23s | loss 0.4659 | train_acc 83.86 | val_acc 82.82 | lr 8.39e-04|
| epoch 107 | time 18.24s | loss 0.4593 | train_acc 84.25 | val_acc 81.59 | lr 8.37e-04|
| epoch 108 | time 18.24s | loss 0.4608 | train_acc 84.09 | val_acc 81.99 | lr 8.34e-04|
| epoch 109 | time 18.25s | loss 0.4588 | train_acc 84.21 | val_acc 81.93 | lr 8.31e-04|
| epoch 110 | time 18.23s | loss 0.4566 | train_acc 84.36 | val_acc 81.23 | lr 8.28e-04|
| epoch 111 | time 18.22s | loss 0.4572 | train_acc 84.30 | val_acc 82.74 | lr 8.25e-04|
| epoch 112 | time 18.25s | loss 0.4614 | train_acc 84.02 | val_acc 82.18 | lr 8.22e-04|
| epoch 113 | time 18.26s | loss 0.4557 | train_acc 84.23 | val_acc 83.98 | lr 8.19e-04| best
| epoch 114 | time 18.26s | loss 0.4563 | train_acc 84.27 | val_acc 82.72 | lr 8.16e-04|
| epoch 115 | time 18.25s | loss 0.4514 | train_acc 84.50 | val_acc 83.58 | lr 8.13e-04|
| epoch 116 | time 18.24s | loss 0.4464 | train_acc 84.65 | val_acc 83.11 | lr 8.10e-04|
| epoch 117 | time 18.24s | loss 0.4517 | train_acc 84.28 | val_acc 82.86 | lr 8.06e-04|
| epoch 118 | time 18.22s | loss 0.4443 | train_acc 84.77 | val_acc 82.90 | lr 8.03e-04|
| epoch 119 | time 18.25s | loss 0.4489 | train_acc 84.56 | val_acc 82.86 | lr 8.00e-04|
| epoch 120 | time 18.26s | loss 0.4486 | train_acc 84.62 | val_acc 82.47 | lr 7.97e-04|
| epoch 121 | time 18.28s | loss 0.4451 | train_acc 84.70 | val_acc 83.06 | lr 7.94e-04|
| epoch 122 | time 18.31s | loss 0.4431 | train_acc 84.80 | val_acc 83.59 | lr 7.91e-04|
| epoch 123 | time 18.26s | loss 0.4427 | train_acc 84.62 | val_acc 82.69 | lr 7.88e-04|
| epoch 124 | time 18.28s | loss 0.4380 | train_acc 85.00 | val_acc 83.25 | lr 7.84e-04|
| epoch 125 | time 18.21s | loss 0.4381 | train_acc 85.08 | val_acc 83.12 | lr 7.81e-04|
| epoch 126 | time 18.18s | loss 0.4380 | train_acc 84.88 | val_acc 82.68 | lr 7.78e-04|
| epoch 127 | time 18.25s | loss 0.4348 | train_acc 85.04 | val_acc 82.56 | lr 7.75e-04|
| epoch 128 | time 18.27s | loss 0.4378 | train_acc 84.93 | val_acc 84.29 | lr 7.71e-04| best
| epoch 129 | time 18.26s | loss 0.4275 | train_acc 85.44 | val_acc 84.07 | lr 7.68e-04|
| epoch 130 | time 18.23s | loss 0.4293 | train_acc 85.11 | val_acc 83.27 | lr 7.65e-04|
| epoch 131 | time 18.19s | loss 0.4337 | train_acc 84.99 | val_acc 83.70 | lr 7.61e-04|
| epoch 132 | time 18.25s | loss 0.4287 | train_acc 85.20 | val_acc 84.53 | lr 7.58e-04| best
| epoch 133 | time 18.23s | loss 0.4270 | train_acc 85.48 | val_acc 83.97 | lr 7.55e-04|
| epoch 134 | time 18.31s | loss 0.4292 | train_acc 85.16 | val_acc 82.21 | lr 7.51e-04|
| epoch 135 | time 18.23s | loss 0.4275 | train_acc 85.15 | val_acc 82.47 | lr 7.48e-04|
| epoch 136 | time 18.21s | loss 0.4250 | train_acc 85.46 | val_acc 83.66 | lr 7.44e-04|
| epoch 137 | time 18.23s | loss 0.4201 | train_acc 85.57 | val_acc 82.74 | lr 7.41e-04|
| epoch 138 | time 18.23s | loss 0.4192 | train_acc 85.60 | val_acc 83.81 | lr 7.37e-04|
| epoch 139 | time 18.24s | loss 0.4233 | train_acc 85.35 | val_acc 84.02 | lr 7.34e-04|
| epoch 140 | time 18.26s | loss 0.4218 | train_acc 85.50 | val_acc 84.20 | lr 7.30e-04|
| epoch 141 | time 18.35s | loss 0.4131 | train_acc 85.74 | val_acc 84.02 | lr 7.27e-04|
| epoch 142 | time 18.27s | loss 0.4193 | train_acc 85.51 | val_acc 84.48 | lr 7.23e-04|
| epoch 143 | time 18.36s | loss 0.4183 | train_acc 85.55 | val_acc 83.31 | lr 7.20e-04|
| epoch 144 | time 18.38s | loss 0.4126 | train_acc 85.90 | val_acc 84.35 | lr 7.16e-04|
| epoch 145 | time 18.35s | loss 0.4128 | train_acc 85.93 | val_acc 84.17 | lr 7.13e-04|
| epoch 146 | time 18.35s | loss 0.4064 | train_acc 86.03 | val_acc 83.49 | lr 7.09e-04|
| epoch 147 | time 18.33s | loss 0.4099 | train_acc 85.84 | val_acc 83.98 | lr 7.06e-04|
| epoch 148 | time 18.34s | loss 0.4162 | train_acc 85.78 | val_acc 84.58 | lr 7.02e-04| best
| epoch 149 | time 18.40s | loss 0.4035 | train_acc 86.02 | val_acc 83.03 | lr 6.99e-04|
| epoch 150 | time 18.37s | loss 0.4011 | train_acc 86.19 | val_acc 83.40 | lr 6.95e-04|
| epoch 151 | time 18.34s | loss 0.3989 | train_acc 86.12 | val_acc 84.69 | lr 6.91e-04| best
| epoch 152 | time 18.36s | loss 0.4066 | train_acc 86.20 | val_acc 83.81 | lr 6.88e-04|
| epoch 153 | time 18.34s | loss 0.4019 | train_acc 86.13 | val_acc 83.11 | lr 6.84e-04|
| epoch 154 | time 18.37s | loss 0.4085 | train_acc 86.08 | val_acc 83.06 | lr 6.80e-04|
| epoch 155 | time 18.36s | loss 0.4019 | train_acc 86.13 | val_acc 85.08 | lr 6.77e-04| best
| epoch 156 | time 18.33s | loss 0.3957 | train_acc 86.30 | val_acc 83.51 | lr 6.73e-04|
